"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown"
"P. cinnamomi","Eucalyptus marginata",44,NA,NA,44
"P. cinnamomi","Eucalyptus megacarpa",2,NA,NA,2
"P. cinnamomi","Eucalyptus morrisbyi",2,NA,NA,2
"P. cinnamomi","Eucalyptus obliqua",7,NA,NA,7
"P. cinnamomi","Eucalyptus occidentalis",2,NA,NA,2
"P. cinnamomi","Eucalyptus pilularis",4,NA,NA,4
"P. cinnamomi","Eucalyptus radiata",2,NA,NA,2
"P. cinnamomi","Eucalyptus regnans",9,NA,NA,9
"P. cinnamomi","Eucalyptus robusta",2,NA,NA,2
"P. cinnamomi","Eucalyptus rubida",2,NA,NA,2
"P. cinnamomi","Eucalyptus saligna",6,NA,NA,6
"P. cinnamomi","Eucalyptus sieberi",8,NA,NA,8
"P. cinnamomi","Eucalyptus smithii",4,NA,1,3
"P. cinnamomi","Eucalyptus viminalis",4,NA,NA,4
"P. cinnamomi","Eucryphia lucida",3,NA,NA,3
"P. cinnamomi","Eustoma russellianum",5,NA,NA,5
"P. ramorum","Fagus grandiflora",2,NA,NA,2
"P. kernoviae","Fagus grandiflora",2,NA,NA,2
"P. cinnamomi","Fagus grandifolia",2,NA,NA,2
"P. cinnamomi","Fagus hayatae",3,NA,1,2
"P. cinnamomi","Fagus sylvatica",2,1,NA,1
"P. cinnamomi","Fatsia japonica",4,NA,NA,4
"P. cinnamomi","Ficus carica",6,NA,NA,6
"P. cinnamomi","Flindersia brayleyana",2,NA,NA,2
"P. cinnamomi","Citrus japonica",2,NA,NA,2
"P. ramorum","Frangula californica",4,NA,NA,4
"P. ramorum","Frangula purshiana",11,NA,1,10
"P. pseudosyringae","Fraxinus excelsior",7,NA,NA,7
"P. cinnamomi","Freycinetia arborea",2,NA,NA,2
"P. cinnamomi","Fuchsia excorticata",4,NA,NA,4
"P. cinnamomi","Gahnia xanthocarpa",2,NA,NA,2
"P. cinnamomi","Garrya wrightii",2,NA,NA,2
"P. cinnamomi","Gaultheria antipoda",4,NA,NA,4
"P. ramorum","Gaultheria procumbens",2,NA,NA,2
"P. cinnamomi","Gaultheria procumbens",1,1,NA,NA
"P. ramorum","Gaultheria shallon",3,NA,NA,3
"P. cinnamomi","Gaultheria shallon",2,NA,NA,2
"P. cinnamomi","Geniostoma rupestre",2,NA,NA,2
"P. cinnamomi","Gevuina avellana",6,NA,NA,6
"P. austrocedri","Ginkgo biloba",2,NA,NA,2
"P. cinnamomi","Glochidion rubrum",2,NA,1,1
"P. cinnamomi","Gompholobium huegelii",3,NA,NA,3
"P. cinnamomi","Goodenia humilis",2,NA,NA,2
"P. cinnamomi","Kadua affinis",1,NA,NA,1
"P. cinnamomi","Grevillea alpina",5,NA,NA,5
"P. cinnamomi","Grevillea amplexans",2,NA,NA,2
"P. cinnamomi","Grevillea brachystachya",2,NA,NA,2
"P. cinnamomi","Grevillea chrysophaea",2,NA,NA,2
"P. cinnamomi","Grevillea crithmifolia",2,NA,NA,2
"P. cinnamomi","Grevillea lavandulacea",2,NA,NA,2
"P. cinnamomi","Grevillea pinaster",2,NA,NA,2
"P. cinnamomi","Griselinia lucida",6,NA,NA,6
"P. cinnamomi","Hakea erinacea",2,NA,NA,2
