"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown"
"P. cinnamomi","Hesperoyucca",3,NA,NA,3
"P. cinnamomi","Zamia",1,NA,NA,1
"P. cinnamomi","Feijoa",1,NA,NA,1
"P. kernoviae","Agathis",1,NA,NA,1
"P. cinnamomi","Andersonia",1,NA,NA,1
"P. cinnamomi","Angophora",8,NA,NA,8
"P. cinnamomi","Anigozanthos",2,NA,NA,2
"P. cinnamomi","Antirrhinum",1,NA,NA,1
"P. cinnamomi","Archontophoenix",1,NA,NA,1
"P. cinnamomi","Stenanthera",1,NA,NA,1
"P. cinnamomi","Azolla",1,NA,NA,1
"P. cinnamomi","Backhousia",2,NA,NA,2
"P. cinnamomi","Beilschmiedia",1,NA,NA,1
"P. cinnamomi","Billardiera",1,NA,NA,1
"P. cinnamomi","Blandfordia",3,NA,NA,3
"P. cinnamomi","Caladenia",1,NA,NA,1
"P. cinnamomi","Carex",2,NA,NA,2
"P. cinnamomi","Cephalotaxus",5,NA,NA,5
"P. cinnamomi","Ceratopetalum",2,NA,NA,2
"P. cinnamomi","Cissus",1,NA,NA,1
"P. cinnamomi","Coleonema",1,NA,NA,1
"P. cinnamomi","Cyrilla",1,NA,NA,1
"P. cinnamomi","Dacrycarpus",1,NA,NA,1
"P. cinnamomi","Daviesia",2,NA,NA,2
"P. cinnamomi","Didymochlaena",2,NA,NA,2
"P. cinnamomi","Disa",1,NA,NA,1
"P. cinnamomi","Encephalartos",2,NA,NA,2
"P. cinnamomi","Entelea",1,NA,NA,1
"P. kernoviae","Ficus",1,NA,NA,1
"P. cinnamomi","Flaveria",1,NA,NA,1
"P. ramorum","Fuchsia",1,NA,NA,1
"P. cinnamomi","Gerbera",1,NA,NA,1
"P. cinnamomi","Ginkgo",1,NA,NA,1
"P. cinnamomi","Gymnostoma",2,NA,NA,2
"P. cinnamomi","Harpullia",1,NA,NA,1
"P. cinnamomi","Hedycarya",1,NA,NA,1
"P. cinnamomi","Helleborus",1,NA,NA,1
"P. cinnamomi","Helmholtzia",1,NA,NA,1
"P. cinnamomi","Kingia",1,NA,NA,1
"P. cinnamomi","Lactuca",1,NA,NA,1
"P. cinnamomi","Lagunaria",1,NA,NA,1
"P. ramorum","Leptospermum",1,NA,NA,1
"P. cinnamomi","Leschenaultia",1,NA,NA,1
"P. cinnamomi","Leycesteria",1,NA,NA,1
"P. cinnamomi","Litchi",3,NA,NA,3
"P. cinnamomi","Litsea",1,NA,NA,1
"P. cinnamomi","Lomatia",2,NA,NA,2
"P. cinnamomi","Piper",1,NA,NA,1
"P. cinnamomi","Melanopsidium",3,NA,NA,3
"P. cinnamomi","Mitrasacme",1,NA,NA,1
"P. ramorum","Neopanax",1,NA,NA,1
"P. ramorum","Nothofagus",1,NA,NA,1
"P. cinnamomi","Panax",1,NA,NA,1
"P. cinnamomi","Pandorea",1,NA,NA,1
"P. cinnamomi","Philotheca",1,NA,NA,1
"P. ramorum","Pinus",1,NA,NA,1
"P. cinnamomi","Polygala",1,NA,NA,1
"P. kernoviae","Pectinopitys",1,NA,NA,1
"P. cinnamomi","Ricinocarpos",1,NA,NA,1
"P. cinnamomi","Rosa",1,NA,NA,1
"P. cinnamomi","Scaevola",1,NA,NA,1
"P. cinnamomi","Senna",1,NA,NA,1
"P. cinnamomi","Spathiphyllum",2,NA,NA,2
"P. cinnamomi","Stirlingia",1,NA,NA,1
"P. cinnamomi","Syncarpia",1,NA,NA,1
"P. cinnamomi","Trifolium",1,NA,NA,1
"P. cinnamomi","Ugni",1,NA,NA,1
"P. cinnamomi","Ulex",1,NA,NA,1
"P. cinnamomi","Vigna",6,NA,NA,6
"P. cinnamomi","Viola",1,NA,NA,1
"P. cinnamomi","Vitex",1,NA,NA,1
"P. cinnamomi","Washingtonia",1,NA,NA,1
"P. cinnamomi","Pterophylla",1,NA,NA,1
"P. cinnamomi","Wodyetia",2,NA,NA,2
